Lead,Empresa,Endereco,Telefone,possui_telefone,avaliacao_google,origem,data_coleta
1,AB Brasil Indústria e Comércio de Alimentos Ltda.,"Av. Itavuvu, 4691",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:22:36
2,Alimentos Zaeli | Sorocaba,"R. Pilar do Sul, 243",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:22:36
3,Catalent Brasil Indaiatuba,"Av. José Vieira, 446",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:22:36
4,Fort Alimentos,"Rua Giacomo Zorzi, 79",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:22:36
5,Indafarma Indústria e Comércio de Produtos Químicos,"Rodovia Engenheira Ermenio O Penteado - s/n Km 57, 5",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:22:36
6,Quinoa Industria de Alimentos Ltda,"R. Domingos Januário Bálsamo, 65",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:22:36
7,Rich's do Brasil Sorocaba,"Av. Vela Olímpica, 1000",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:22:36
8,Sandeleh Alimentos,"Rod. Raposo Tavares, s/n",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:22:36
9,TTF Alimentos - Distribuidora de alimentos,"R. Nathália Orejana, 230, Sorocaba - SP Eden",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:22:36
10,Unigra Brasil Industria e Comercio de Produtos Alimenticios LTDA,"Av. Fernando Stecca, 1370",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:22:36
